,username,rating,review_year,review_month,platform,headline,post_text,visit_year,visit_month
230,NigelJ380,5,2014,2,non-mobile,The best pub in Cheshire/UK/World just got even better,"We booked a Sunday lunch as we have done many times before, and my wife always rings beforehand to find out what gluten free options are available. This time she was delighted to discover that the gluten free possibilities have been expanded. To cut a long story short, we had a beautiful meal, the ale was in great condition as usual and the overall experience is superb. Try the haddock pancake starter. I keep meaning to have a different one, but I can't resist them.",2014.0,1.0
231,jamie7295,5,2014,2,non-mobile,A fantastic old british classic!,"The Bhurtpure is a fantastic place to go! The drinks on draft are fantastic with a never ending selection of choice, The place has won many Real Ale awards, Which isn't surprising considering the amount of ales available! Simon, the landlord is a lovely chap, And knows how to run a proper pub, - cooking up some fantastic foods, The curry is one of the best I've had, And during the summertime it is a fantastic place to have a meal looking out to the fields, A great place to go in the summer sun sat in the beer garden, Or during the winter time as they have a huge log burning fire in place",2013.0,11.0
232,winkertonk21,5,2014,2,non-mobile,"Great pub, great food too.","Called in for food on a Saturday, early afternoon. Fantastic freshly prepared food for a reasonable price. Food arrived quickly, and serving staff were polite and professional - excellent service from both food and bar staff... Spotless loo's, an open fire, and great service. Very pleased, and I'd cheerfully return. ",2014.0,2.0
233,Shed25,2,2014,2,non-mobile,Two for £10,"We took granddad for his birthday. The start was very promising. Nice feel with a roaring fire, good looking menu and decent range of real ales. We should have left it there. The food was very poor. The sort of thing you get in a microwave ""Two for £10"" joint. I had lamb samosas and a curry with nan that I could have easily replicated from Morrison's - very poor indeed. The same was true of everyone else's meals except the pie which did look homemade. Never going back.",2014.0,2.0
234,juliefrancesca,5,2014,2,non-mobile,Our favourite pub......ever!,"We love it here, the food the log fires, the real ales, it is such a typical old English pub that when we have friends come either UK based or from abroad this is our first port of call. The menu is great, enough to suit most palets, good honest food, cooked well and a huge variety of not only ales but also soft drinks too. We love it here, the staff are friendly, the place is welcoming and it has a wealth of history related to it too. If we have an event we come here and just for lunch too, it doesn't matter it always good.",2014.0,1.0
235,G M,4,2014,2,non-mobile,All good here!!,"Good food,too many beers to chose from,good atmosphere good location great for families,good staff,recommended..",2014.0,1.0
236,val t,4,2014,1,non-mobile,Evening out,"We paid a visit to the Bhurtpore Inn on the recommendation of a family friend. The pub was very old with beams and a welcoming log fire. We arrived at 7pm and there were already plenty of customers probably due to the fact it is a real ale pub. Our friends arrived and we were given our pre booked table number. It is advisable to book a table for a Saturday night as the restaurant was full. There are plenty of daily specials and a menu of ""normal"" pub food. After ordering our food there was about a 30 minute wait which we thought was fair due to the amount of people. The food arrived,the lasagne was a good portion and was very tasty, the steak cooked as requested and very tender, the fish flaky and the salmon pie went down well. It was all served hot which is very important to myself. The only negative point is that for pub food I thought it was quite expensive, pub food at restaurant prices but other than that a very good evening in friendly surroundings.",2014.0,1.0
237,Nigel E,5,2014,1,non-mobile,Great Food,Had two recent visits to this pub. On both occasions the food was excellent and would not hesitate in recommending. Its not a gastro pub and not 2 meals for a tenner just good quality food well cooked at a reasonable price. Nominate a driver when going to sample the massive range of beers available.,2013.0,12.0
238,Driver_in_Europe,4,2013,12,non-mobile,How a pub should be,"When you need to feed the family (6 adults and two dogs - all well-behaved!), it is important to find somewhere welcoming. The Bhurtpore has a nice room at the back that fits the bill nicely.The whole experience is most satisfactory - of particular note is the excellent range of beers which the men were delighted with (Driver_in_Europe on sparkling water as usual, alas). Certainly they do everything well: the menu offered a wide range of options, the food was of a good pub standard, and the service was pleasant and efficient. The secret of their success seems to be that they know what they do and they do it well, without any silly ostentation.",2013.0,12.0
239,MissBabs64,4,2013,12,mobile,Sunday lunch in a lovely traditional pub,"I read about the beer selection and took a punt- brought my mother out for lunch on a visit to Nantwich. Beer delivered, so did the lovely welcome. Lamb shoulder for lunch, no noisy muzak, decent wine for the non beer drinker. We shall return",2013.0,11.0
240,Timscfc,5,2013,11,non-mobile,Never disappoints,Traditional pub with great selection of food and beer - not your usual gastro pub and family run ! well worth the trip out there !,2013.0,11.0
241,MF18,4,2013,10,mobile,Great food every time.,"I always like visiting The Bhurtpore, fantastic food, always lots of different things on the menu, lots if choice. Great selection of beers too.",2013.0,5.0
242,rockyWirral,5,2013,9,non-mobile,excellent food as always,"weve been going now for 3 years and never had anything else other than spot on tasty food since weve been going we have given up salt as the food tastes as it should, the bar staff and serving staff are a credit to the place pleasant, helpful and freindly they do a mean mean cheese pie there really is a lot to choose from",2013.0,9.0
243,luann b,5,2013,9,non-mobile,every time we visit it never disappoints,"We have been going to The Bhurtpore for 6 years and every time we go it never disappoints.If we are just popping out for a drink, tea or a special meal the staff are fantastic,friendly and nothing is too much trouble. The menu and specials board does sometimes make it hard too choose but that's a great dilemma to have........We love the range of beers and ciders they have on offer as most pubs have the same old offerings.",2013.0,7.0
244,NigelJ380,5,2013,9,non-mobile,Still the best,"We've been visiting the Bhurtpore for many years now, and it never disappoints. We don't always have a meal, but this time we went for Sunday lunch. My wife always rings in advance to see what gluten free alternatives are available, and they are always very helpful and obliging. We had a superb meal, the beer was excellent as always and the service was great. To us, the sign of a really good pub / restaurant is how consistently good they are over the years, not just on odd occasions. Simon and Nicky have built up a terrific business which gives you consistently good beer and food. You can't ask for more.",2013.0,9.0
245,Peche05,4,2013,9,non-mobile,Great choice of drinks and good pub grub,Proper pub with real ale and good pub grub. Nothing fancy but enjoyable all the same. Normally only eat curries at indian restaurants but their curries are definitely worth a try. ,2013.0,8.0
246,TomChch,5,2013,9,non-mobile,Great beer as usual,Visited the bhurtpore many times in the past and this visit was as good as ever. The fish cakes were excellent and several of the group sampled the curry. The beer was spot on as ever!,2013.0,8.0
247,BRIAN M,5,2013,8,non-mobile,best real ale pub an food,i go there at least once a month the staff are very good simon the landlord no all the best beersis currys are the best.,2013.0,8.0
248,Receptionist23,5,2013,8,non-mobile,Food Service & Staff ALL brilliant!,"Hadn't booked a table but turned up hoping we would be able to get a table for 6 of us. Not a problem , the staff found us a table, nothing was too much trouble. Fantastic soft drinks menu, lots of local ales too. Majority of our party went fo their famous curry selection. All delicious, as were the two dishes from the specials menu that our party ordered. All in all, a lovely british pub, delicious food, wonderful staff and a super atmosphere, can't recommend highly enough!!",2013.0,8.0
249,AVLWrenbury,5,2013,8,non-mobile,You have to try the curry,"Great pubReal ale, genuine curry (in this bit of leafy Cheshire this is a real bonus) and a super atmousphere.",2013.0,7.0
250,gastronaut2010,4,2013,8,mobile,Drinkers paradise,"You won't find a better selection of drinks for pint drinkers. This is the Mecca for real ale people. Has great cider too and other unusual stuff. It's a nice country pub in a good setting. I have been going in since about 1997 ish and Ive always enjoyed it. The food is not bad but just pub grub and not always so good. The curries used to be fab but now are very disappointing. This place just churns out food but there is no real effort with the ingredients or quality. I would say the owner has gone past caring really and is just happy to sell what he sells. I am guessing he has made his money, provided for his family and his time in the pub game might be numbered. He did a good job turning this place into a roaring success though and it's always popular and busy. I wish the food was better but can't have it all. Still one of the best drinking venues for miles and miles",2013.0,7.0
251,Scranmuncher,4,2013,7,non-mobile,Great Pub,"Second visit here - the first time was for the Beer Festival and the place was packed, but staff were pretty good and I didn't have to wait for long to get served. Loads of beers on offer, something for everyone. The second visit was for lunch. We had the burger and the gammon, egg and chips. All good. The chips were lovely - quite chunky, almost like mini roast potatoes. Burger was very tasty. All reasonably priced. Will definitely return.Also has a spacious garden, perfect for summer.",2013.0,7.0
252,morkin0512,2,2013,7,non-mobile,We are n11ever ever ever going back to Bhurtpore,"After a lovely day out we decided to go for a spot of lunch. First of all it seemed that the staff were either too busy talking to the regulars to serve us or too afraid to leave one spot of the bar to come serve us at the other end....Finally we were served. Our meals arrived and one meal was completely wrong and even missing the chips! And again when we went to the bar to inform them they still did not want to leave there special bar spot to serve us! Finally once the meal had been corrected and the waitress brought the meal back at out she commented ""sorry it took so long but the chef had to cook it again"" as if that was my fault?! If he had done it right in the first place we would not have to of had it redone. Finally since we had asked for our mealto be corrected the staff kept sneering and staring at our table leaving us feeling very uuncomfortable and unwelcome. We shall not be returning!! ",2013.0,7.0
253,keith w,4,2013,7,non-mobile,great village pub,"went in july for the beer festival, second year running, the place was packed, great atmosphere and fantastic beer.This festival runs like a well oiled machine, plenty of staff and although the bar areas are 2 - 3 deep at the bar, you get quickly served.Only had a snack but very nice and reasonably priced....hope the owner reconsiders over not having it next year!!",2013.0,7.0
254,TerryM469,5,2013,7,non-mobile,Fantastic day,Went here for a beer festival with a coach full of 33. It was one of the best days I have had.180 beers from all over the country.some of the beers were amazing although I did nt think much of the weapons grade Ginger Beer.The food looked ace and the choice on the specials board was superb.I personal had a steak ciabatta and chips. Excellent it was too.Camping was available at the back as well as the day progressed obviously there were bodies everywhere.If this is on again next year I will be deffo going.Reasonable also steak Ciabata and chips £7.60And for the beer we had a Kitty and I only spent £20I was a great pub with a superb atmosphre,2013.0,7.0
255,music9di,4,2013,6,non-mobile,a brilliant local pub,"I'm really lucky to have this as my local pub. it has 11 constantly changing real ales,real Czech Budweiser,, and a huge selection of malt whiskies, as well as imaginative soft drinks, good cider, and the great atmosphere of a ""proper"" pub. It's friendly and welcoming with a huge array of memorabilia on the walls.Food is mainly homely comfort food, though with interesting curries and some imaginative specials. Portions are generous and the food is good value.",2013.0,6.0
256,traceyknorn,5,2013,6,non-mobile,"excellent curry, excellent beer","fab as always. Huge range of beers, cider and food. Staff are always friendly and helpful. Beer garden great. Real Ale festival fantastic.",2013.0,4.0
257,JeanA982,5,2013,5,non-mobile,Lovely Pub!,"I love this pub, it has everything. Nice food, good wines, good choice of beers and juices too. I've had lots of meals and drinks here and it's always enjoyable! The staff are friendly and there are lots of things to look at, in terms of local history. Good choice of puddings!",2013.0,2.0
258,Mrraines,4,2013,5,mobile,Lovely country pub,Whist on a weekend on the inlaws narrow boat we moored at wrenbury and walked the 30 min stroll to the inn across the fields with the dogs. The weather was glorious and we sat in the plesant beer garden to sample a few of the many real ales available. The beer was well kept and at the right temperature. I found one pint of tatton penny less to be unplesant but thats just a personal taste thing. The prices were a bit steep at around £3.30 a pint but when in the cheshire countryside it's to be expected. Did not eat there so can't comment on the food. Very nice pub in a nice area. ,2013.0,5.0
259,NigelJ380,5,2013,5,non-mobile,We keep coming back for more,"This is the place that every proper pub/restaurant lover should visit. We booked for a Sunday lunchtime, and my wife, who suffers from coeliac disease, rang a couple of days in advance to sort out any gluten free options. We both had superb meals, and of course, the choice of cask beers is legendary. The staff are all friendly and efficient, and, put simply, everything about the Bhurtpore is great. Don't forget the beer festival at the beginning of July either.",2013.0,5.0
260,Gaynor A,5,2013,5,non-mobile,Great curry,"Great choice of beers, draught and bottled, husband loved the goat curry! Good choice of food, and friendly, efficient staff",2013.0,4.0
261,SteveE787,5,2013,5,non-mobile,Fabulous,"Really great atmosphere and excellent food. BUT, want you need to look at is the range of beers available on tap. This is one place where you will never be able to sample all the draught beers in one sitting!Friendly knowledgible staff, easy going attitude.",2013.0,1.0
262,dorothy_butters,4,2013,5,non-mobile,"wide menu, village pub atmosphere","On a sunny bank holiday Monday, almost everyone was sitting outside in the beer garden. The atmosphere is that of an old-fashioned village pub rather than a gastro eatery, but there is a wide choice of interesting food, and what we selected was tasty. The portions are good. Service is friendly and relaxed. I had to ask twice for my rather bland cappuchino, and although we asked for potatoes with the gressingham duck, it came with chips. Otherwise good food, friendly people.",2013.0,5.0
263,Simon1967,3,2013,4,non-mobile,2nd visit and still wondering if they want customers?,"Our 2nd visit and my main criticism would be lack of customer care. No welcome, no drinks order taken at table. My food this time (went for one of there special curries) was much better than 1st visit. But you need to look after your customers.",2013.0,4.0
264,Sun2flower,5,2013,4,non-mobile,Great pub food with a twist,I stopped here for an impromptu meal for my birthday with a friend and our babies.The staff were very accommodating and allowed us to move furniture in order to get the pushchairs in.The service was very good and the staff very friendly.The food was excellent. So tasty and lots of it.I could not fault anything.,2013.0,3.0
265,rockyWirral,5,2013,3,non-mobile,fabulous food and great staff and a big log fire,"we go every week they have a great selection of food and real ales and other drinks. They do lots of different curries and a mean cheese and potato pie, nowts too much trouble, The staff are very freindly and efficient great chefs aswell as the food is delicious. They also do childs portions on a lot of meals and are always changing theyre menus with new twists on the traditional grub. Weve been going there for about 3 yrs and have never had anything wrong with any of our food ever. This place is like a tardis its also got a great selection of real ales",2013.0,3.0
266,youngblueeyes,5,2013,2,non-mobile,"Traditional, friendly, welcoming and all round decent country pub!","Walking in from the cold to a roaring log fire, friendly staff and the delightful smells from the kitchen it already shaped up to be another good night at the Bhurty!!!With a rolling selection of real ales, regularly changing specials and a set menu as well i find it hard to believe that this country gem could not satisfy any customers needs. As a semi regular customer the standard of food at this pub has never faulted, the ales never let down those who aren't driving, and the atmosphere is up there with the best! Reserved or not the sprawling pub has a variety of seating areas (indoors and out) for any diners preference and the service is perfectly timed, attentive but not rushed. I would recommend this pub to anyone, especially if they enjoy the countries finest real ales or an authentic homemade Indian curry (with the landords special experience from his travels in India).If its goood enough for Gordon Ramsey himself its good enough for for the rest of us!!!!!!!!",2013.0,2.0
267,645CarolH,5,2013,1,non-mobile,"Fantastic food, brilliant choice of beers and great staff.",We are regulars at the Bhurtpore and it never disappoints. The food is high standard with lots of choice and always a great selection of real ales. You can just turn up and eat in the bar areas but you should book the restaurant if you want to guarantee a time and table.The Bhurtpore Beer Festival every July is well worth the visit.,2012.0,12.0
268,Alan A,5,2012,12,non-mobile,If this were my local I would never be sober,"Saturday 8th December- 8:00 p.m. Although we had booked a table in the restaurant (you cannot book a table in the bar) we managed to grab a table by the fire and the staff were OK with that. We had Miguel (our friend from Seville) with us and he absolutely loves the place. His English is as bad as my Spanish and he was delighted when a barman let him try a few beers before getting down to it . I can never get over the range of food on offer. My wife had pheasant (""marvellous', apparently). I had a lamb Madras. Wonderful choice of beers. The landlord is a star (and no, he won't be giving me a free pint for writing this).",2012.0,12.0
269,Paul SP L,4,2012,12,non-mobile,Great Food and Good Service,"Ate here on Saturday night 15 December 2012 with friends that we met on holiday in Switzerland. Never been here before but was very surprised. The restaurant was completely full, the food was good and plenty of it and I couldn't beleive how good value the meal was for 4 of us. Service is a little rustic in parts, but overall the whole evening was a good one.",2012.0,12.0
270,Thisleenoble,2,2012,12,non-mobile,Not what I expected,"Featuring so highly on TripAdvisor's local listings, and having been recommended for its curries by a few people, I was looking forward to what was billed as a great culinary experience.I can only assume that whatever delights used to come from this kitchen must have stopped when a chef left or something, because what we were served was nothing short of bland. It also looked like it was last decorated in 1987 at the height of chintz.I won't go into detail, most of what I could say has been more and eruditely expressed by Julia332 below.It is possible that this place gets good scores for its real ale selection. Unfortunately as I was driving, I was unable to test this part of the business out, but suffice it to say, I won't be back for dinner.",2012.0,12.0
271,NigelJ380,5,2012,12,non-mobile,"Best pub/restaurant in Cheshire, probably the U.K.","We've been visiting the Bhurtpore for many years, and it is never anything other than brilliant. This applies to the many cask beers on offer, the food and the scrumpy. If you are a coeliac, and you ring a day or two in advance they are most helpful in sorting a meal out for you. Some establishments say they can help, but when you arrive, they have problems. No problems here though, so thank you everyone. The beer festival is great too, and if you want to try more beers than is sensible, you can always use the train, as Wrenbury station is only a short walk away. Heaven would be to live in Aston, so that I could walk to the pub whenever I liked.",2012.0,11.0
272,Julia332,2,2012,12,non-mobile,Why do they bother!,"I know its close to Christmas and people are getting tired in the service industry, but really ' that's the job'. Went with a selection of ladies of different ages and the service and hospitality and choice was abysmal to say the least. A Pub/Restaurant out of town really needs to have an excellent reputation to keep going, because this reviewer and the 8 others wont be going back. And when the Chef/Cook? stands at the end of the table at 10:30 chasing you out as he wants to go home - you have to wonder. Poor food isn't acceptable in a recession.",2012.0,12.0
273,NantwichFlatley,4,2012,12,non-mobile,Beer & curry...now with added WiFi !!!,At last Simon has embraced technology and the Bhurtpore is now a 'Super Tindaloo' WifFi hotspot. Hooray!!!(BTW beer and curries just as good as ever!!),2012.0,12.0
274,Joe H,5,2012,11,non-mobile,Curry and Beer!,We went for a meal last Fri.The curry I had was very very good (Hot) I had 2x Beers out of a range of 8 hand pulls Jane had Tuna and this also was very good.I think this is one of the best Free house around the Nantwich/Crewe area always in Camra best Beer/Pubs Cheshire award.You can get on a train in Crewe/Nantwich and off at Wynbury station shortish walk!(Stagger),2012.0,11.0
275,AngeT874,5,2012,11,non-mobile,"Excellent Beer, Excellent Food","Top pub selling a massive variety of excellent beers, ales and ciders. The food is also excellent, you'll pay slightly above average, but its worth it and the menu is quite extensive and bound to please everyone.",2012.0,11.0
276,Pietrojovanni,4,2012,11,non-mobile,A taste of India,We loved the selection of curries and being a real ale enthusiast I enjoyed the choice of bitters available.,2012.0,10.0
277,sunnycroft31,4,2012,11,non-mobile,sunday lunch after pumpkin picking,"What a great sunday lunch warmer we had after going pumpkin picking at a local farm, i know this establishment of old & it certainly did not disappoint. There was a great selection on the menu, both meat & fish dishes a plenty. I had the sea trout which was superb, pricing was very good, excellent service on a very busy lunch.I will certainly be visiting again",2012.0,10.0
278,Lisa P,5,2012,10,mobile,Love this place,Excellent food at reasonable prices we go usually about once a month the pie is to die for highly recommended. Vast range of real ales and they use all local produce proper homemade cooking!,2012.0,9.0
279,kernowwizard,5,2012,9,non-mobile,"Excellent Service, food and value for money","A few weeks ago my wife and I travelled up to Cheshire to visit our family. During the period of time of the visit, it was my son and daughter-in-law’s Wedding Anniversary so we decided to treat them to a meal and went to The Bhurtpore Inn.This place is amazing! I have never seen so many beers and ciders in one place in my life! OK they were in bottles but they also had 11 different ale’s on tap!I could write a review just about the beers and ciders.Anyway, we checked out the varied set menu and the specials board. I had been told that this place was renowned for its curries. This is an English pub run by an English couple. The only connection with the Indian continent is that the family’s history goes back to the days of the Raj when the landlords great grandparents, if not great, great grandparents where in the British Army in India.Because of this reputation for curries I was a bit concerned as my wife has an allergy to cumin which could be possibly fatal. But she carries an eppipen with her and insisted we go there.When the waitress took the order, the situation re the cumin allergy was explained and we asked that my wife’s food be cooked nowhere near any cumin. My wife, son and daughter-in-law decided on a prawn and crayfish starter and I went for the meat samosa’s. It was all delicious.For the main course my daughter had duck, my wife opted for the sirloin steak, my son with a bit of persuasion from me ordered the hottest curry in the pub called a Lamb Tindaloo and I had a Beef Madras.The waitress came back and said to my wife. “I’m sorry, but you can’t have the chips with your steak because they are cooked in the same oil as the samosa’s. You will have to have salad or boiled potatoes and veg. Now that’s what I call customer care!!When the meals arrived there were three onion rings on my wife’s plate of steak, potatoes and veg and she said “What about the onion rings? Have they been fried in the chip oil”? “Oh no” said the waitress, “they were cooked separately for you”!! Well, that’s another star for customer care!!Was the Tindaloo hot? Oh yes it was steaming!!!! And my Madras was hot but nothing like the Tindaloo. We shared both the dishes which cooled the Tindaloo down a bit, but not much. The one thing that struck us both was we have been in Indian Restaurants and eaten very hot curries before and to be honest they were all heat and not a lot of flavour. Here at the Bhurtpore we had heat and a lot of flavour. It was excellent as were all the starters, the Duck and the Steak.For excellent service, customer care, quality of food, unbelievable choice of beers and ciders and value for money, this place cannot be beaten.",2012.0,9.0
280,Wybunbury1,5,2012,9,non-mobile,Great Ales and Food.,Wow! I thought I'd died and gone to heaven walking in this place. A great selection of cask ales and ciders.The menus was mainly curry based but more authentic style and I tried the chicken and spinach which was really tasty and not drenched in sauce like some places do. Staff were helpful and the setting lovely the only problem was I was in the car and couldnt get stuck into the ales.The train station at Wrenbury is close by (5-10 mins walk) so if you did want to try the ales without the worry of driving it can be done.,2012.0,7.0
281,mark p,5,2012,9,non-mobile,excellent food !!,"we went to this pub one saturday lunch time and it was very pleasant, although not many people in the log fire was warm and inviting..Outside it was extremely cold and snow was starting to fall.We had starters which were serviced by a very helpful young lady and was delicous! our main course was equally good and we had a really comfortable ,relaxing lunch time experience .Would definately return ",2012.0,2.0
282,Brian W,5,2012,9,non-mobile,Added to my personal list of favourites,"I have wanted to try this place for years, and at last a chance arrived, accompanied by my wife and a friend. It is a tad hard to find if you're a stranger to the area, but the search was definitely worth the effort.First - wonderful choice of real ales. It's a little bit like a miniature beer festival. Obviously one couldn't taste everything, but the pint of bitter I had was in excellent condition, and served at just the right temperature.Now to food. This place specialises in curries, and there are few things I enjoy more. I chose one that was classed as 'medium hot' a Tamil Chicken. It was simply beautiful. However, although I like my curries fairly hot - I usually have Madras in my local curry house - this was about as hot as I would care to go, so I can only think the 'hot' curries are pretty searing and might need lots of drink to go with them. The portion size was above average and very filling. Above all, unlike some pubs which seem to use scrag ends of chicken when making curry, the actual chicken was first class. (This is an obsession of mine - I would always prefer to pay a bit more to get decent quality chicken.)My companions, less curry orientated than me, chose lamb and beef pie respectively from the extensive menu. Both pronounced them excellent. My wife compared the quality to that at the Tempest Arms, Elslack, which from her is the ultimate praise.The price was very reasonable, considering the quality and quantity of the food. This is a definite re-visit, if we are in the area, and probably if we can find half an excuse to pass it.",2012.0,9.0
283,gastronaut2010,3,2012,9,mobile,Proper real ale pub with pub grub,"If you love your real ale or bespoke lager this is the place. Awesome choice of drinks from ciders to wheat beers to unusual lager. No hint of main stream brewery here - defiantly and superbly a free house. Food is ok but will disappoint on balance. But this is not a restaurant or even a gastro pub - its a drinkers pub which serves food, albeit not a bad menu with choice of curries and rustic sounding main courses but when the food comes its more like heated up frozen food rather than fresh. Still the food is better than a chain but there are better near by. I wish I had a local like this. The chap who runs it is a very nice guy. Recommended.",2012.0,7.0
284,HOPKINS29,4,2012,8,non-mobile,Tasty Food,There is a good choice of food available and a good selection of beers. It may be a good idea to make a reservation in the restaurant on busy nights.,2012.0,7.0
285,woffer73,3,2012,8,non-mobile,I was so expecting more.,"I had heard many extremely favourable reviews of the Bhurtpore Inn at Aston from work colleagues over the years, but for one reason or another, we never got around to visiting. Reviews on Tripadvisor were also extremely favourable, so we decided that we would visit.The setting is in a very picturesque village, called Aston. On entering, the warm atmosphere is instantly gratifying. The variety of wines, beers, and spirits on offer is very impressive. I had one of my favourite wheat beers-Erdinger, and it was excellent. Bar staff were very friendly.Unfortunately, this is where the praise mostly ends. We perused the menu and various specials boards with interest. My Wife and I both ordered the chestnut mushroom soup from the specials board, which we were later informed was sold out. No big deal, so we ordered black pudding in french mustard and apple sauce, and salmon fishcakes with home-made tartar sauce. The black pudding was ok, but the sauce added nothing to the dish at all. My wife's fish cakes were just ok, but the home-made tartar sauce was delicious.As the reviews regarding the curries at the Bhurtpore were so encouraging, i decided to order one, again from the specials board. I opted for the spicy mango chicken, which was served with a poppadom and mango chutney. My wife ordered the gammon and egg, served with home-made chips. I'm not entirely sure how i expected my curry dish to be presented- perhaps in a nice balti dish or the like? What i ended up receiving was a runny curry plonked onto the kind of rice reserved for Uncle Ben, on a plate that wouldn't entirely look out of place on any NHS Hospital ward. I could have forgiven the appalling presentation if the taste of the food compensated for it, but it just didn't. It was borderline insipid. l've made better curries at home, using a jar of Patak's, and some boiled Tilda rice, and i regard myself as a below average cook.Perhaps my Wife would have more success with her gammon and egg? Oh dear. The gammon was like that cheap, overly salty crap that you buy in the supermarkets, that ends up chewy if you leave it in the pan any longer than 30 seconds. The egg was also overcooked, and greasy- fine for a layby greasy spoon, but not for a pub held in such high regard. The home-made chips were, however very good, but did little to assuage our disappointment.The fact that not once did any wait staff approach our table to see if everything was to our liking, only compounded our misery.As a drinking pub, this place would undoubtedly hold it's own with the very best, but based on our recent dining experience, we won't be revisiting any time soon. Such a shame.",2012.0,8.0
286,Galenagang,5,2012,8,non-mobile,Always one to go back to,"My partner and I have eaten here on lots of occassions and never have been dissapointed, best curry by far, better than alot of indian restaurants we have visited, superb range of real ales and ciders so great to go by train and walk into the village.",2012.0,6.0
287,EASUk,5,2012,8,non-mobile,Dont want to tell you about this absolute gem!!,Bistro food and dining but with fantastic curries made by the landlord Simon. Amazing range of properly kept beers. This has to be one of the best pubs in the UK!!,2012.0,8.0
288,TVRLady,5,2012,7,non-mobile,A great pub for drinks & food.,A very pleasant free house pub & restaurant. A huge choice of drinks. My favorites are the Trappist & Abbey bottled strong beers from Belgium. The food is very good especially the curries prepared by the landlord. A very famous pub that has won numberous awards.,2012.0,7.0
289,Wheelhouse66,5,2012,7,non-mobile,"Just what a pub should be. Great beers, good food & friendly","A great pub. Every drink you can name. Real ales, continental ales, large bottle list, many whiskeys, on & on. The food is good & the curries are excellent. Very busy at times especially at eating times. A great pub. Meet the locals, best after food has finished.",2012.0,6.0
290,Cheshire1976,3,2012,6,non-mobile,Ok,"I realize I'll post the first average rating for this pub, but I feel it is averageCurries particularly good, but other meals averageLots of guest beers and a good choice of wines, but if you like basic daught lager, you feel like an outcast !",2012.0,5.0
291,Brenda S,5,2012,5,non-mobile,Fabulous atmosphere,"I have visited this pub on many occasions - with family and my husband. If we have eaten, the food has always been tasty and good value. The staff are very friendly and have been very accommodating - we contacted them before our visit to explain my daughter's intolerance of gluten and dairy. They made every effort to give her choices and even made her a special dessert - which we all decided we wanted! They specialise in curries and although I have not had one myself, my husband says they are excellent! There are always speciality beers available and do appear to be very popular (not a big fan of beer myself). We will definitely return to The Bhurtpore Inn - just wish we could live in Wrenbury and therefore become a regular.",2012.0,5.0
292,NantwichFlatley,4,2012,4,non-mobile,Great for beer and curry lovers....,".....with a great range of hand pulled ales, continental lagers and fridges full of belgian strong ales you'll always find a satisfying drink at the Bhurtpore. Great place for locals and visitors only a 10min walk from Wrenbury Station. Simon, the landlord, can be seen in a variety of locations either in the cellar or the kitchen - cooking up some fantastice curries from the modest to the SuperTindaloo (have several beers on standby). He's generally only seen behind the bar when Liverpool FC are winning though!Well worth a visit.",2012.0,3.0
293,sailorbird,5,2012,4,non-mobile,Marvellous,"Got there on the train........crossed a field.......well worth it, lovely choice of beers, tasty food, charming staff and the kind loan of a torch for the walk back to the station, how about that for excellent service!",2012.0,4.0
294,Alan A,5,2012,3,non-mobile,A Good Restaurant and a Proper Pub,Excellent food - and they know a lot about beer!Curries particularly good - but so his their venison. Lots of guest beers and a good choice of wines.,2011.0,10.0
295,steb66,4,2012,2,non-mobile,Nice pub nice atmosphere,"We spend quite a lot of time in the local area and often call at the Bhurtpore for a drink, place is full of character regardless of its quite modern exterior and always has a good atmosphere.",2011.0,10.0
296,Joe H,5,2012,2,non-mobile,A great village pub offering Great range of Beers and Food.,We went on Wed .and we had the Currie's some of the best we have had for a long time! The range of Beers was very very good 9 or 10 Hand pulls on offer.We had great service and offered a taste of any beer we wanted or did not know!1.We think this pub ticks a lot of box's!! Well worth a visit when in the area.,2012.0,1.0
297,Smallcar,4,2012,1,non-mobile,Great alternative to a Curry House,"Had a great night, real ale and curry. A bit shabby at the same time, but adds to the character...",2012.0,1.0
298,CheshireMatt,4,2012,1,non-mobile,Good tasty food....particularly the curries!,"Ate here on a Thursday night - the Bhurtpore is pub that does good food in Aston near Nantwich. With lots of space inside and friendly staff it has a varied menu, particularly good curries. You have to try the belgian waffles as they are a definite treat. Plenty of choice of real ales too - so definitely recommended. Not the best in the vicinity of Nantwich as I think the Thatch and Nags Head at Houghton are better but worthy of a meal out any time.",2012.0,1.0
299,CheshireGerMan,5,2011,12,non-mobile,As good as ever,"A wet and windy late-December day. What better way to spend it than with mulled cider, veggie sausage baguettes and delicious hand-cut chunky chips. Good old Bhurtpore!",2011.0,12.0
300,ScooterFoxterrier,5,2011,12,non-mobile,Well worth the drive out,"This is a Pub/Restaurant.The Pub itself always has at least a dozen guest real ales and what seems to be 100's of different european bottled (and some draught) beers. It has won CAMRA pub of the year several time - this in itself speaks volumes.Then there is the food. Again a specials board always shows about a dozen or so main course and starters - all fab! and the desert board, well...................................There is a menu available as well as the specials.All in all, this place is Fab, and the staff are always friendly and helpful, despite reading the reviews below. I speak as i find.",2011.0,12.0
301,Joe H,5,2011,11,non-mobile,Great range of beer and food,10/12 ales on at any time great beers and food. Would always go and have a drink.,2011.0,11.0
